Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Inventory policy,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
***JELTY SKIN! STW PARA FARMEAR PAVOS INFINITOS! LYNX! VINCULABLEA TODO! (649MXN)***,,***JELTY SKIN! STW PARA FARMEAR PAVOS INFINITOS! LYNX! VINCULABLEA TODO! (649MXN)*** @here,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,649,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1441908535687381222/7f4867d8-550b-471d-adcf-bba3cbc1838c.jpg?ex=69238178&is=69222ff8&hm=9f0b9b5159781da51d24b90885a3929ff528f93619c285bb966a7c52193c4db3&,1,,,FALSE,,,,,,,,,,,,,,,
***ROGUE SPIDER KNIGTH! NARUTO! LARA CROFT! KAKASHI! RICK SÁNCHEZ! VINCULABLE A TODO,,***ROGUE SPIDER KNIGTH! NARUTO! LARA CROFT! KAKASHI! RICK SÁNCHEZ! VINCULABLE A TODO (599MXN) @here***,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,599,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1441907308648206386/f5545c66-d7a3-41c0-b2c0-c460d401d7cf.jpg?ex=69238053&is=69222ed3&hm=7235097670f60a67fdd6e9f48734ba84ae16a4ec79738fa281551b2588178bbf&,2,,,FALSE,,,,,,,,,,,,,,,
***GWENPOL! PETER GRIFFIN! AANG! POSEIDON! DOOM SLAYER! VINCULABLE A TODO! (499MXN)***,,***GWENPOL! PETER GRIFFIN! AANG! POSEIDON! DOOM SLAYER! VINCULABLE A TODO! (499MXN)*** @here,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,499,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1441905777664196741/43abccb3-ad28-4528-90ca-f50fa713fa59.jpg?ex=69237ee6&is=69222d66&hm=0803b2b0cd1d6f6d6cf9abf5ac342fdf887cced721e252f908bf98bae7f6a666&,3,,,FALSE,,,,,,,,,,,,,,,
***STW PAVOS! MIDAS DORADO! PASE MARVEL! AURA! FUSIÓN!,,***STW PAVOS! MIDAS DORADO! PASE MARVEL! AURA! FUSIÓN! VINCULABLE A TODO*** 849MXN @here,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,849,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1441893379444052182/6d29785d-fbba-4427-acec-0fe59a2a4258.jpg?ex=6923735a&is=692221da&hm=ae9a239c56c38d3726bfd70f155bc9056f85c50975680bbd52e80efd303cd871&,4,,,FALSE,,,,,,,,,,,,,,,
Código de skin exclusiva de Reino Unido,,Código de skin exclusiva de Reino Unido  (10 disponibles) (400 MXN cada uno) @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,400,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1441541419566235648/IMG_6522.jpg?ex=69237d10&is=69222b90&hm=8702f921fc6cd49bc664b489dfe229e33ebec28a9a1883f05f405394781a6326&,5,,,FALSE,,,,,,,,,,,,,,,
HOLAAAAAA!! 🎃,,HOLAAAAAA!! 🎃  LES TRAIGOOOOO NUEVO STOOOOCK  SALIDITO DE PAQUETE 📦✨  BUENOOOO BONITOOOO BARATOOOOO  PARA QUE SE LAS LLEVEEEEN TODOTAAAS! ✨ @everyone @everyone @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1428500407474458634/image0.png?ex=692381ad&is=6922302d&hm=119b9b4e120ee09f78bb60fac5b1dce7e478df4e3e90be3c1e1a40d37a173286&,6,,,FALSE,,,,,,,,,,,,,,,
@here,,@here,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1426346973534879865/IMG_1268.png?ex=69239522&is=692243a2&hm=700e80e3721db85fe2bb7d18cf09e24359079ae0b0d97b46e8c39a5d7edeff9f&,7,,,FALSE,,,,,,,,,,,,,,,
GANARON LAS CHIVAS ASÍ QUE SE VIENE UN GRAN STOCK GRACIAS A ESO! MUCHÍSIMOS GRIALES @everyone 🐐,,GANARON LAS CHIVAS ASÍ QUE SE VIENE UN GRAN STOCK GRACIAS A ESO! MUCHÍSIMOS GRIALES @everyone 🐐,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1416901192101003354/IMG_9982.png?ex=69237f10&is=69222d90&hm=f6a4a96dad95a0c68d598580dd5d3d5e13d08e6313e2e072a7ed35b05481b6c7&,8,,,FALSE,,,,,,,,,,,,,,,
SI QUIEREN COMPRAR ALGO ENVÍENME WHAT SAAP! (33 17 22 84 58) @everyone,,SI QUIEREN COMPRAR ALGO ENVÍENME WHAT SAAP! (33 17 22 84 58) @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1411131225694801921/IMG_6518.png?ex=6923995d&is=692247dd&hm=853f251be8c1fd0474fefb60b70d056f2a31de58cf379c4f25f38147d1950de4&,9,,,FALSE,,,,,,,,,,,,,,,
TENEMOS EL CLUB EN (150mx) y 2k pavos en (165mx) APROVECHEN ENTREGA INMEDIATA @everyone PARA SU NUEVA TEMPORADA 🔥,,TENEMOS EL CLUB EN (150mx) y 2k pavos en (165mx) APROVECHEN ENTREGA INMEDIATA @everyone PARA SU NUEVA TEMPORADA 🔥,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,150,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1403101783030632618/085ed62d-4a74-4699-9fed-4f11f24fb63b.jpg?ex=6923645d&is=692212dd&hm=9aacc007750a4d37cc407834746c0a9141a9b55d0155f9065048796fc0d3322e&,10,,,FALSE,,,,,,,,,,,,,,,
